CSE0000101,AttendanceMachineW1,12110429,1
CSE0000102,AntennaSystem39,11510209,1
CSE0000102,GameChargerA5,11911204,1
CSE0000104,FlashCard87,11410104,1
CSE0000105,GpsE3,11311326,1
CSE0000105,SecurityCameraY2,11211210,1
CSE0000105,DisplayChipB4,11910916,1
CSE0000106,DigitalFrame48,12110728,1
CSE0000106,Router92,12211415,1
CSE0000106,Router92,11512823,1
CSE0000107,Yuba48,12210502,1
CSE0000107,ElectronicDictionaryG3,11712115,1
CSE0000108,SaasSoftware94,11112416,1
CSE0000109,FocusingScreenU7,11112326,1
CSE0000109,TeachingSoftware73,11412820,1
CSE0000109,RepeaterB1,11512308,1
CSE0000110,IsbnPrinterA3,11612520,1
CSE0000110,GameConsoleFilmN2,11611819,1
CSE0000111,ImageAlarm30,11411616,1
CSE0000111,CasetteLibraryT2,11710812,1
CSE0000112,UpsPowerShredderT7,11310020,1
CSE0000113,Air-ConditioningFan51,11411312,1
CSE0000113,ComputerRemoteControlG0,12212700,1
CSE0000114,OfficeSoftwareD7,11411929,1
CSE0000114,SoftwareEncryption15,12212008,1
CSE0000115,GameChargerK2,12112622,1
CSE0000116,Air-ConditioningFan21,12112613,1
CSE0000116,ServerPowerV7,11910404,1
CSE0000116,GameChargerA5,11112520,1
CSE0000117,CustomerManagementSoftwareCrm49,12211220,1
CSE0000117,Air-ConditioningFan51,11212228,1
CSE0000117,CustomerManagementSoftwareCrm49,11612710,1
CSE0000118,HumidifierY1,11611819,1
CSE0000119,IsbnPrinterA3,12112300,1
CSE0000119,HumidifierY1,11310212,1
CSE0000120,RouterX4,11512408,1
CSE0000120,HeatSink95,11512419,1
CSE0000121,ConverterE1,11912706,1
CSE0000121,ExhaustFanD8,11410106,1
CSE0000121,MonitorO3,11512702,1
CSE0000122,HumidifierY1,11612410,1
CSE0000123,CellphoneDataLine26,11410326,1
CSE0000124,ServerR5,11711521,1
CSE0000125,Hand-HeldGamingDeviceR5,11411716,1
CSE0000125,Cd95,11511523,1
CSE0000126,GameChargerK2,11410306,1
CSE0000126,Codec76,12011019,1
CSE0000126,Scanner21,12112210,1
CSE0000127,ElectronicDictionaryG3,11212228,1
CSE0000127,OfficeSoftwareD7,11812018,1
CSE0000128,CellPhoneBattery21,12011018,1
CSE0000128,CasetteLibraryI1,11210706,1
CSE0000201,Tablet82,11511523,1
CSE0000201,Cpu60,12210529,1
CSE0000202,SoftwareEncryption15,11210413,1
CSE0000202,CustomerManagementSoftwareCrm49,12110614,1
CSE0000202,ElectricIronD7,12011706,1
CSE0000203,ConverterE1,12112727,1
CSE0000203,Gps07,12011102,1
CSE0000203,SoyMilkMachine50,11612918,1
CSE0000203,GameJoystick05,11510010,1
CSE0000204,MonitorO3,12210911,1
CSE0000204,FlashCard87,12211502,1
CSE0000204,Ribbon17,11410214,1
CSE0000205,GameChargerZ3,11510416,1
CSE0000206,ComputerRemoteControlG0,11311229,1
